Emotions,Path
<<<<<<< HEAD
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-03-02-02-02-16.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-03-01-01-02-16.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-02-02-01-01-16.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-02-01-02-01-16.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-06-01-02-02-16.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-05-01-02-01-16.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-05-02-01-01-16.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-06-02-01-02-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-04-01-01-02-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-04-02-02-02-16.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-05-01-01-02-16.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-06-01-01-01-16.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-06-02-02-01-16.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-05-02-02-02-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-04-01-02-01-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-04-02-01-01-16.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-03-02-01-01-16.wav
happy,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-03-01-02-01-16.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-02-02-02-02-16.wav
calm,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-02-01-01-02-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-04-02-02-01-16.wav
sad,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-04-01-01-01-16.wav
fear,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-06-02-01-01-16.wav
angry,/Users/nikhilraj/Desktop/SER-ML/AudioDatasets/Audio_Song_Actors_01-24/Actor_16/03-02-05-02-01-02-16.wav
